Sentence,Anger,Split
And it will no doubt make me happy in the morning as well!,0,0
My dr gave me a rx for morphine oral to take for my hip and leg pain and i'm kinda weirded out about taken it.,0,0
surgeon did broncos copy on upper lobe of left lung.,0,0
The apex seems free of trouble.,0,0
Good morning..I have been reading this post and I am so greatful for all the sharing and learning I have found so far.. with everyone sharing what we know its good for the group as a whole..,0,0
"It was on 1-22 and the subject was, When is it <PERSON>",0,0
"Lucky, I did not get any mouth sores.",0,0
"I was treated with chemotherapy and radiation, followed by surgery to remove the upper lobe of my right lung.",0,0
"Still gets me upset, but this is 2010 and i can not hold a grudge.",0,0
I remember that I cried in bed every night while I was having treatment.,0,0
"My metastasis were also to my other lung, liver and lymph nodes.",0,0
I had a left upper lobectomy 18 mos.,0,0
"Thank you for sharing, so eloquently, I might add.Sue",0,0
"But, depending on your type of cancer, your stage, surgeries, etc.",0,0
Best wishes to you and your husband.,0,0
"How about <PERSON> can hear you groaning from here.You can't say I didn't tried and, by the way, kudos to YOU for trying.",0,0
"Well, my mom is back in the hospital again.",0,0
So great to hear more good news on this forum!,0,0
"Radiation is actually a lot more invasive than surgery.......the tissue becomes radiated, and for the most part surgery cannot be done afterward.........also, there are major side effects after, usually about two years later.In my opinion, this <PERSON> is a prime candidate for active surveillance......his cancer has a very good chance of being indolent, not likely to spread.<PERSON>",0,0
I can honestly say that the lung itself was never really too painful.,0,0
For robotics I would suggest <PERSON> out of St <PERSON> or <PERSON> out of Northside.,0,0
Also it makes sense to drink lots of water because it is natures best purifier and cleanser.,0,0
Thank you for sharing your thoughts and experience with me.I'm very pleased to see you're happy with your decision for the lumpectomy.,0,0
Everytime I would rinse my mouth chunks of my tongue would fall out.,0,0
Your doctors now seem to really care and want to get to the bottom of your health problems.,0,0
I can still see their faces and every time I think back it brings tears to my eyes.,0,0
"Hi Bev,I had my chemo Feb-June of 2015 and radation after that and I still have fatigue also.",0,0
I would also ask for the PSA test to be repeated.,0,0
"I am so happy that you had such a ""great"" day.... and how sweet of Art to drive out to see you... awe.. and to top that all off Mr. <PERSON> too... wow.. you have had quite the excitement today... see... don't hang out with Mr wrong (blob) so long that you allow a mr right to slip by you unnoticed... Tingly hu????",0,0
I am sorry that you are having them.,0,0
Mine worked on the areas and gave me exercises.,0,0
"Thank you Roseann!Stay well also,
Suzanne",0,0
Let's keep our positive attitudes and always remembers where to turn when we need support.,0,0
Thanks for sharing your experiences.,0,0
Things I would normally find moving are exaggerated to the point of bawling.,0,0
<PERSON>: That is the way it should be..but sadly not the case many times...<PERSON>,0,0
doctors were surprised and pleased with my range of motion at my first post-surgical follow-up.,0,0
"Our Prayers and Best Wishes to Your Mom, You, and Your Family,
  Dan (<PERSON>) and <PERSON>    NEVER GIVE UP HOPE, WHERE THERE IS HOPE THERE IS A CHANCE.",0,0
"Day two, every bone in my lower body was aching.Hang in there!trft aka <PERSON>",0,0
I have been crying off and on all day.,0,0
It seem like you are a strong woman and deal with everything with a positive attitude good luck and stay strong.,0,0
So to me it seems like a real crap shoot.,0,0
Now it is getting on with living time...,0,0
Early detection and early treatment makes this a treatable cancer now and not a death sentence.,0,0
"The chemo went very well, but the radiation kicked his butt.",0,0
I think the waiting ages you the most-that and all the old magazines in the waiting rooms.,0,0
She applied when she  was taking me to radiation.,0,0
I am on this site investigating some information on lung cancer for my husband when I see your message.,0,0
I feel it is scarring of the tissue but the oncologist feels it is a precaution.,0,0
At first the thought it muscle but after scans found canceer spread to spine.,0,0
"I had surgery, taxol and carboplatin.",0,0
I was told that with what will be left it would equal to having one lung.,0,0
"Let him and your mom know that you will update them regularly on your progress and that emphasis that they did a good job raising you and that with all they have instilled in you, you will be fine.",0,0
I am so glad your family enjoyed the peppers.,0,0
"People say the dumbest things without ever thinking first, even for a nanosecond.Since you ""can't make waves""... Maybe it's a good thing I wasn't there with you, Margo.",0,0
"mine are fever,night sweats,headache,coughing,pain throw out back,weight loss,sick to stomach,very very tired,cant breath for more than 2 hours without inhaler,sleeping and moving side to side results in no air and need inhaler...just wondering if anyone else has symtoms..thank you all very much",0,0
"We are getting one of those van cabs for all of us...I am not much of a drinker,though I do love my red wine, and neither is <PERSON>, but I sure want him to have the option to have too much if he wants to!",0,0
You learn to thank God (either litterally or figurtively whatever you believe) for every day.,0,0
<PERSON> you believe in miracles cause we all know God can do this.,0,0
"I had for my rad treatments gave me something called Miracle Mouthwash,it worked at soothing the throat and mouth as I had both.",0,0
Even though it looks and feels scary....dig in there (the situtation) and find the gift.,0,0
I guess I am amongst the 3% that can't deal with it.,0,0
Deleted the post because it posted twice.,0,0
"May God give all of you comfort, courage, love, healing and the will to get past this disease and conquer it.",0,0
I'm more than 2 years down the road now and I have no signs of any cancer returning.,0,0
"The tumor shrank by 75% and was removed surgically, along with 40% of my right lung.",0,0
"I just have so much nerve irritation in the left arm, armpit and left ribs that I'm becoming impatient.",0,0
I guess they might try to get at mine thru the mouth.,0,0
There was no way to save my left breast.,0,0
I did not experience radiation.,0,0
"Take the help, if its not offered ask even.",0,0
3 lymph nodes were removed with 2 being positive.,0,0
They worked for almost an hour to get his heart going again.,0,0
Why was I made an involuntary lorazepam addict during my TNIBC treatment?,0,0
I do take a pain pill before bed then just Advil during the day.It hurts to cough and am dreading the first sneeze.Ha!,0,0
Dont give up on your husband but try to encourage him to talk to you about his feelings.,0,0
"So it's better for Mom to continue with whole-body chemo rather than limited area radiation for an asymptomatic area.This all makes sense, but is still scary.",0,0
There is also no perineural involvement.,0,0
She is from Argentina and is very old school about certain things so courtesy is a big thing for her.,0,0
I loved your new pics.,0,0
"Many others have, and continue to, provide value to me on my journey, and I am happy to be able to give back to this esteem group, as well as the newcomers.I with you the best of outcomes on your journey.",0,0
"uuuggghhh everytime I eat anything my mouth hurts, it's a ***** I tell ya.",0,0
"I gained weight due to steroids given before chemo day, it made me eat like a horse for a day or two, then rest of days were like normal pre treatment.Steroids were for imflamation caused by chemo drugs, which made me cough during infusion, steriods eliminated this problem.",0,0
Ive been on Ibrance for 2 months.,0,0
I have that same bulge same place as yours and also right under mastectomy side.,0,0
He believes this will push my PSAs back down to 1.00 or below and get us back to the point in which we can closely monitor it and respond as necessary.,0,0
... ornament and chocolate -- what a lucky gal you are!!,0,0
<PERSON> you had a great day with Art and Corvette Guy.<PERSON>,0,0
"Lord, please allow the chemo to relieve <PERSON>'s pain and discomfort, so that she may receive radiation, if that is Your will.",0,0
"Whenever I say, ""I have BC,"" he says, ""You HAD BC.",0,0
If you would like to get in touch with me I would be glad to correspond.,0,0
He is getting weaker by the day and packing up his apartment (as small as it may be) has become a challenging feat.,0,0
