Sentence,Anticipation,Split
Isn't it wonderful to have something to rejoice about during the journey?,0,0
I dont have lymphadema but I do get PT.,0,0
I am going to have the radiation was just confused on why it was necessary but all you clear that up for me.,0,0
I have met with my pulmonologist several times who says I am going to need surgery (soon).,0,0
The procedure sounds very promising with supposedly very little side affects.,0,0
looks real has highlights and only wear it to work.,0,0
"He mustered up enough energy to say, ""I LOVE YOU"".",0,0
I think we worry about every little thing after what some have gone through.,0,0
I never fell asleep and it was an hour plus ride.,0,0
"The biopsy showed its origin was my lungs, but there were no lung tumors to be found.",0,0
I guess I'm use to having bone pain.,0,0
My husband has nscl cancer and I know what you mean about being  there for him and not wanting to live without him.,0,0
"""However once it goes to the bones it is.",0,0
She is dealing with slight progression in other places.,0,0
I'm 9 days post op now and beginning to see some improvements.,0,0
Thats great that you went naked today and had a good experience with it...i hope i have just as good experience when im brave enough to go naked!,0,0
"I just want to feel good, have quality of life, not be tired and sick and bald on chemo and then just die.",0,0
Just want to say congratulations on getting that first chemo done and behind you.,0,0
She is hanging in there and being strong!!,0,0
They took out my upper lobe on the left side.,0,0
"I felt foolish, because I was ""only"" having a relatively minor procedure, but my fears and yours are very real.",0,0
"The only thing worse than bad news, is waiting!",0,0
Listen to your body and strike a balance between the exercise you need/want and what the body will take.,0,0
"Just be sure to relax for the first week, even if you feel great!",0,0
<PERSON> to hear that it went pretty smoothly for <PERSON> (except for the numbskull nurse).,0,0
My most recent Dr. visit revealed elevated liver function test and I have been experiencing some abdominal pain.,0,0
I wish your mom the best in making a decision.,0,0
It is amazing that if we give our bodies the right amount of Nutrients and Minerals what the body can do.,0,0
Even my results are good I feel sad every time when leave the clinic.,0,0
<PERSON> that I missed the actual day but it's a BIRTHDAY WEEK!,0,0
God bless us all and may we have our health always.,0,0
I used Aquafor skin lotion/gel  (over the counter)for radiation side effects on my skin.,0,0
1st day Taxotere then wait 21 days before next treatment.,0,0
He ordered a PET scan which was inconclusive.,0,0
"I hoped a had a spectacular Birthday filled with love, laughter and joy.",0,0
"I hope and pray that you all are doing great and enjoying the warm weather, depending on where you live.",0,0
It is very hard to tell what is the treatment and what is the general anxiety this bloody thing causes.,0,0
..we all tell work see ya later~~Mom was with us about 7 weeks.,0,0
He is at present feeling depressed as he is constantly tired and feels very weak.,0,0
I had my upper left lobe removed on 7/7/09.,0,0
Sending you good luck and hugs too TulsaMom!,0,0
"So far so good, my next lung ct is 11-7.",0,0
I decided to go for a second opinion at Chicago's Northwestern University breast center.,0,0
"Anthem Blue Cross applied it to my Out of Network Deductible, but <PERSON> (the lab in California that did the test) claims they are the only lab in America that performs this test, so it should not be considered ""Out of Network.""",0,0
That kind of left us with transfusions to brinng up the count.,0,0
I hope we can gain access to The Breast in early 2012 to see and read the full recommendations.,0,0
"Other than that, he was able to live a pretty active life.",0,0
"I figure if it hasn't yet proven to be impossible, it's possible.When I was a bit down after my second followup scan that showed everything was pretty much static (although obviously improved in some way judging by my symptoms), my onco doc said, ""You know the guy this cancer center is name after?",0,0
It was red and swollen.,0,0
"I was new to this site a week or two ago, looking for hope, support, insight and maybe even a miracle.",0,0
"Nor do I believe that the Pharmaceutical Companies and all the doctors all around the world are hiding a cure, I can't imagine such a universal collusion about such an earth-shattering find =) Impossible to hide such a thing, except maybe in a <PERSON> novel, :0 !stayingcalm",0,0
It took about 1 hour and I was done.,0,0
I had 3 second opinions - one doctor felt I should do radiation but I chose not to.,0,0
I then had upper lobe of left lung removed along with 3 ribs and the tumer of 8 centemeters was removed 26 days ago.,0,0
I hope you will be OK & I hope you have support to be at the hospital with you.,0,0
They did a biopsy last Friday and that's when they gave the preliminary results of stage 3B non small cell lung cancer.,0,0
I pray that your goals will be within reach sooner than anticipated.,0,0
I was very lucky to have a wonderful surgeon.,0,0
It will show if she has any active cancer .,0,0
"I actually looked forward to my <PERSON> ,it was a good seven hour escape from home!!!",0,0
I'm going to a specialist tomorrow who does this procedure and hope I qualify.,0,0
"My suggestion is, if your not comfortable with the advice, the attitude, anything, look elsewhere.",0,0
I am glad that you had your surgery and pray that the pathology report gives you the answers you seek.,0,0
"Not heart problems, just the way my depression feels.",0,0
I have to drive a hour each way.,0,0
When my mom lost her hair from chemotherapy she too hated wearing wigs!,0,0
"I have heard of some constipation issues, I have heard others that use softeners.",0,0
"Hi everyone, My husband is 62 and dx with NSCLC, squamous cell nodules in right upper lobe.",0,0
I started <PERSON> and <PERSON> and this is helping to channel my thoughts and emotions in a positive way.,0,0
Ideas are like children; there are none so wonderful as your own.,0,0
"Now, 19 months later and having recently grown significantly, I do have strange but tolerable pains in the liver.",0,0
"Cheers to you and may you always be ""boring""!",0,0
"He is a very stubborn Irishman and said ""Oh it was only 5 minutes from home"".I will let you all know when he gets the results.",0,0
An enlarged prostate “manufactures” high levels of PSA serum.,0,0
"My 69 year old mom was diagnosed around Thanksgiving with 2 primary cancers, one small cell and one non small cell.",0,0
Unfortunately many here got similar experiences with their initial doctors.,0,0
So now I have something fun to look forward to next week as well.,0,0
Now you are going to wonder why you don't have somewhere to go everyday!,0,0
Many more happy and healthy years to come!,0,0
Has anyone ever requested their loved one be moved to another facility.,0,0
"Most recent 2.0, just had some additional lab work this week.",0,0
His breathing sounds like ice in a blender on high with every inhale/exhale.,0,0
We feel like the doctors aren't telling us everything that needs to be told.,0,0
"My husband was also diagnosed with Stage 4 lung cancer, malignant pleura effusion, with mets to lymph nodes and liver.",0,0
Sunrae that is excellent news makes the year worth it.,0,0
I don't know if sending the biopy to a lab you own then using that to recommend treatment based on that result is illegal or not but it certainly seems borderline to me.,0,0
Keep laughing and if you need some encouragement e-mail me at jsaindy@comcast.net.,0,0
I live in Atlanta and I was fortunate to fine out that Emory University's Urology Department was headed up by a Dr.,0,0
I'm sorry to hear about your friend.,0,0
Released from hospital next day after surgery.,0,0
Lots of hugs and prayers coming to you!,0,0
Another bright light glowing in Florida for all my sisters.,0,0
"Thankfully, she is tolerating it well (so far).",0,0
What a sweet surprise to find those lovely gifts and letters waiting for you!,0,0
"Late in congratulating you, and, am so happy for you!",0,0
"Forutantly, I had an appt with onc dr. the next day, when he saw the incision, he said it was starting to keloid.",0,0
He is finally looking and feeling like his old self again.,0,0
"But, I would love to have my hair back soon.",0,0
Wonderful that you were able to make to Cayden's birthday party!,0,0
"My clothes feel good, not hangin' off my bones or nothing.",0,0
Pain in my legs and all muscles was unbearable.,0,0
My husband fought cancer for 5 years when he passed.,0,0
"It was like a magic ointment, and was the only thing that really did the trick.",0,0
"There ya go---yes, there is a blog site here!",0,0
"I am having a party with family, friends, and neighbors stopping over for lots of treats, and of course lots of kids.",0,0
Definitely sending thoughts that things r painlee and peaceful.,0,0
I'm in excellent shape and very active physically.,0,0
Would love to hear of someone that has beat this......,0,0
Sounds like you are comfortable with your choice.,0,0
so many people have come up to me since and said that about the funeral.,0,0
That your family is having to go through this.,0,0
There's nothing to fear about chemo except fear itself.,0,0
"My diagnosis was for triple positive breast cancer, right side, one positive node.",0,0
"Reaction to the MRI .. Yikes, maybe it has to do with your blood pressure.",0,0
"In 1987, all I was left with was a sunburn.",0,0
"Forgot to add.....we asked about a PET Scan & were told he does not fit the protocol at this time, that it still isn't being done routinely in U.S.",0,0
"Therefore, take your oncologists advise as he/she may be current on this subject matter.",0,0
Hang in there your too young too die and your too strong willed to allow it.,0,0
How lucky were you to have her as your social worker!,0,0
The <PERSON> affected my stomach more that anything.,0,0
"I have completed a left breast mastectomy, chemo and radiation.",0,0
This is your Life you are talking about!,0,0
I have a friend who was diagnosed with SCLC in July which spread to adrenal gland above right kidney.,0,0
We hope that this brings hope to anyone with that dreaded pancoast tumor.,0,0
It's 16 months since I had my left lung removed.,0,0
We were all scared and we get scared every time something different happens.,0,0
About 7 years later she had a tumor behind the optic nerve and had brain surgery.,0,0
So as of right now enjoy these days with her and make her feel as special as you can.,0,0
she had limited stage and her doctors told her they hoped to cure her.,0,0
"My, I do hate those shots.",0,0
"I just found out today that my grandmother, 73 years old, has Stage 4 lung cancer that has also spread to her liver.",0,0
She started cycle 4 today with this good news.,0,0
She would go through several rounds of it each night-sometimes choking/coughing until she threw up.,0,0
My mom has lung that will kill her.,0,0
PET shows no breast cancer & that the lung ca has been successfully eradicated.,0,0
"Hi Amy, my dad was just diagnosed with stage 4 lung cancer, yes there is hope, We put dad on an alkiline diet, please try it.",0,0
"... from end of treatment for NSCLC 3B coming up in July (diagosed April 2010), no identified recurrence as yet, feeling great, and not limited at all in my activities.IOW, definitely not complaining!",0,0
I can tell you as of now.,0,0
Transitions is about to be offered on line too with a weekly interactive Saturday program.,0,0
He immediately called the oncologist who had me come in to put fluids into me through my port.,0,0
Contact the social worker in the oncology department of your hospital.,0,0
"When I looked at her I could see she had a wig on, so I asked what kind of cancer she had.",0,0
In order to get to it they had to cut threw muscle and nerves and remove the top lobe of my lung.,0,0
I hated being limited and I hated not taking a bath.,0,0
I finished chemo about 4 months ago and was told by my oncologist that they generally only perform tests if something seems amiss.,0,0
"I then had lower right lobe removed 8-19-00
followed by 6 more carboplatin and taxol before starting radiation.",0,0
gone for a week to 9 days back for a day or so.,0,0
Metallic taste in mouth and mouth ulcers all normal.,0,0
Then she had a lot of anxiety that kept her awake every hour for about 10 minutes.,0,0
It is worth it to catch bc early.,0,0
I noticed I had problems multi tasking and even forget words when trying to have a comversation.,0,0
"I hope when you get another chance to visit California, please call me up and don't be ashame.",0,0
One day at a time - sometimes one hour at a time.,0,0
"I do not belive miracle, but I believe me and my dad can beat the cancer.",0,0
"My PCa was diagnosed in OCT 2016 and took the Radiation, HT routeHad 44 treatments ending Jan 16 of this year.",0,0
It is so awesome to hear news like yours!,0,0
Wishing you and your mom the very best.,0,0
They worked for almost an hour to get his heart going again.,0,0
The cancer went back into remission and the doctors are unsure why.,0,0
I dont know how to give her hope when I dont feel any.,0,0
Don't you wish it was only chocolate cake?,0,0
I share your feelings of being terrified and helpless.,0,0
Feels like a dream and that I will see him walk through the door at my grams to join the family reunion.,0,0
I left my moms house in a daze.,0,0
I pray all goes well and very successful!,0,0
A very special Happy Birthday wish for YOU!!,0,0
The treatment was a little tough but worth it because I am a survivor now.,0,0
"Now he knows how I have acquired the strength,courage,hope,attitude,and even humor that I so desperately needed to get through this battle.",0,0
And of course try Googling this so you'll become familar with similar websites where you might get the info you need.,0,0
Char im sooo happy for you...that is awesome news...congrads!,0,0
"Ladies out there share your 'cocktails"" with me as I head towards crazy train of no sleep.",0,0
we then learned he had a mass on his bone in his upper left arm.,0,0
"IF you want to talk you can take the lead!DeniseI THINK it's better then some who just dont' comment-so it makes you unsure if don't care, dont' like to talk about things (could bring up bad memories of family members)",0,0
We are currently looking into clinical trials as his last option of treatment.,0,0
"So glad you enjoyed a really uplifting day, dear J.Food for thought, eh?Kind regards, <PERSON>",0,0
I have worked for at least 35 years of my 40 year marriage and then went straight to treatment after retirement.,0,0
"Don't have your answers, but suggest you post at www.inspire.com.",0,0
My point is that the doctor's statement is very vague.,0,0
"Still very very emotional, some days very positive and optimistic, other days, very sensible.",0,0
Docs can biopsy lymph nodes but have no way of knowing if a cell has entered one's blood stream.,0,0
"Me thinks your on the right track.I believe that to have a fighting chance one has to change everything that brought this desease on.For me thats cigerettes and all the other garbage in processed and cheap food.I'm avioding both while hopefuuly getting treatment with at least som, science and track record behind it.In the end whatever god wants he's gonna get.GOOD LUCK!",1,0
I thought she left that abuser for good.,1,0
"My son is going for his 2nd chemo session tomorrow, then he's off for 1 week before he starts another round of treatment.",1,0
"By pre-op date, it will be 12 days and by surgery date it will be 2 weeks!!",1,0
he will start feeling better after the 4 days off rad.,1,0
"Tonight, it is starting again.",1,0
If these fads worked there would be no cancer.,1,0
your test results must have really cheered you up.,1,0
Maybe that would help with your stomach.,1,0
"In fact, other problems tend to go along with lung cancer.",1,0
You might need some help getting through this.,1,0
"I was told I would lose my hair, but did not...I have two beautiful wigs still sitting in their boxes.",1,0
The Oncologists at VCI are very optimistic of a cure.,1,0
"i think it is a good idea to just shave it all off because, it will be easier on you.",1,0
If I'm going out for a party I sill use a pad but at the end of the night it is usually guite dry.,1,0
When I was first diagnosed I thought I only had a few months to live after reading all the statistics.,1,0
"Don't worry, its just part of this deal and the shock will pass.",1,0
