Sentence,Disgust,Split
I would like to know if anyone else has had an experience that when their hair grew back in ?,0,0
"Hey <PERSON>, When I was on Taxotere everything tasted like salt.",0,0
"He has planned on 6 rounds prior to maintenance of 3 off, 1 on.",0,0
Unfortunately the chemo hasn't worked and the tumour is particularly aggressive.,0,0
Enjoy whatever foods you want now!,0,0
I was treated at CTCA and had tremendous success.,0,0
Are we rockin now or tomorrow?,0,0
Thanks for all the comments and well wishes.,0,0
I stoped all the Chemo in Sept of 2006 .,0,0
I have nsclc stage 1 and had surgery March 1.,0,0
Bilateral was never suggested by any of my DRs.,0,0
My doctors can't agree on where the fluid comes from.,0,0
This is a very good support site.,0,0
I'm still undecided but I have ruled out the combination of brachytherapy/radiation/hormone therapy.,0,0
I honestly looked better bald than with this sick looking new hair growth.,0,0
I'm glad you had a good day today--many more of them to come.Margo,0,0
"<PERSON> to you, <PERSON> to you, <PERSON>, dear VickiSam, <PERSON> to you.",0,0
None of these was discussed by the first urologist.,0,0
Did your onco prescribe a calcium/vitaminD prescription too?,0,0
"From what I read, the results are very favorable.",0,0
There is no way to know what they will find until that is in.,0,0
"Had two days of fluids and two yet to go, but long story short, I have c-diff, anyone else have this?",0,0
He has gained back 20 pounds and has no pain anywhere.,0,0
And his numerous LINKS.A friendly discussion.,0,0
"Hi BuzzzThere is one distinct difference between these 2 technologies, CyberKnife uses radiation which is gamma rays  to kill cancer cells, radiation contaminates any other surrounding cells that it comes into contact with.. HIFU is totally different because it does not use any radiation and only uses Ultra High Frequenscy laser which the Dr. uses to cook the cells effected which kills the bad cells, it's focused laser beam raises the temperature to 60 degrees celcius which kills the cells, there is no radiation.. don't get me wrong I think CK is a much better technology than the previous methods of radiation therapy which was beamed at the Prostate and other tissues which it also killed..  of course I am no expert but I know when I had my CT Scan everyone left the room because I was being <PERSON> which shows that radiation is dangerous to life...<PERSON>",0,0
"Sending lots of prayers.Hugs, <PERSON>",0,0
hope this helps you.my prayers to you and your family .,0,0
Get support from your friends and other loved ones.,0,0
Had to scream for help.,0,0
"However, if we will consider surgery they will lessen the frequency of raditaion being done since the radiation will make the surgery more difficult.",0,0
