Sentence,Fear,Split
Hopefully we have more good days than we have had in the past.,0,0
I explained that my own self esteem would be challenged enough without seeing him looking at what I no longer had.,0,0
We've been told that some physicians may take offense to the request and deny.,0,0
They keep coming in every hour or so to do neurology tests to make sure his brain is working properly.,0,0
"It has proven effective and improves the quality of life of patients with lung cancer, the expert said.He said this is the only vaccine registered in the world to treat advanced lung cancer.Guerra said the vaccine is undergoing another phase of clinical trials at hospitals.",0,0
Second guessing is just going to literally drive you insane.,0,0
"Thats funny guys!,...I am about the weight b4 all of this!",0,0
"Welcome Julie, glad you were able to figure out how to post a new thread.",0,0
sounds like something I would like - chocolate and wine :-) Yum!,0,0
They took out my upper lobe on the left side.,0,0
:)  The doctors numb your throat so you don't gag.,0,0
You seem like a strong <PERSON> I know you can stay in today!,0,0
I would like to do what I can to help the skin and muscle heal well so that the implant exchange goes well.,0,0
"Plenty to worry about at home, and still concerned about all of us.",0,0
I am going into my 3rd year since my original dx which was Stage 2 April 2011.,0,0
It breaks my heart to lose Marsha who was beautiful inside and out.,0,0
"Me2, but unfortunately they just told me yesterday the area will probably get worse!",0,0
They teach self massage and exercises that help.,0,0
"Hi, What did you do for he itching between the fingers.",0,0
"Like all the other ladies here, I say the same thing.",0,0
"Also, talk to you husband's oncology nurse.",0,0
"Guys I once again have faith in the human race u ae all so wonderfull,all I want to do is eliviate suffering and yo actually CARE ALSO my wife Dolores has come out of surgery with a very bad prognosis but she is one hell of a fighter.......PLEASE E-MAIL HER DIRECT AT dhopps@freemail.absa.co.za she needs to talk to you ,Guys I love You all stacks and I wish you all the best ,over but not out from Sunny South Africa.....please do keeep in touch...........",0,0
"I'm still very, very tired due to low white cell count.",0,0
These are the facts and do not believe anything unless you can be given very solid proof.,0,0
"Sorry to write so much, I tend to be ""wordy.""",0,0
I was on Gemzar and Carboplatin for a time when first starting my chemo in February of 08.,0,0
"Oh Traci it was so wonderful, well worth the 7 plus hour drive to get there!",0,0
I was dx with <PERSON> and had a lobectomy of my right upper lobe.,0,0
I signed my daughter up for softball to keep her busy which starts soon.,0,0
I have adjusted myself to these new schedules and have gotten used to the increased pain levels and discomfort.,0,0
"He will be starting chemo and radiation this week, very aggressive.",0,0
I really did want to get back into doing things I normally did as soon as I could.,0,0
Is anyone familiar with pericardial effusion?,0,0
Thank you for sharing your thoughts and experience with me.I'm very pleased to see you're happy with your decision for the lumpectomy.,0,0
I also have numbness which i assume is nerve damage.,0,0
I am so very sorry that you got that very unwelcome news.,0,0
They found that doctors frequently switched drugs to choose the more expensive options.,0,0
yuck i hope you guys get better and you get a break!,0,0
that is amazing that you worked through this!,0,0
"Now I've just completed the third series of 4-treatments, and waiting for the CAT scan, to be done in the middle of next week.",0,0
!This is not the 'safe and sane' variety...it sounds like WWII is starting all over again!!!,0,0
You have gotten good advices.,0,0
I would call that a celebration Deb!,0,0
THANK YOU LORD IS ALL I CAN SAY...I AM HAVING CHEMO NOW AS A PREVENTATIVE MEASURE RECOMMENDED BY THE AMERICAN CANCER SOCIETY...,0,0
She faired pretty well through all of this.,0,0
because of money..so haapy for you that stress is over.,0,0
Those chin hairs are resilient!,0,0
I have 10 more sessions of rads left to go then Arimidex for five years.,0,0
"Dr. <PERSON> at Strong Medical in Rochester, NY is one of the most experienced.",0,0
I am 77 years old nd always very active.,0,0
The spot on the bone is gone-  they can't say why and don't know how.,0,0
Think positive and try reading through the <PERSON>al web pages (on the left tool bar) it made me feel so much better.,0,0
I hope you feel better soon and stay feeling better for a long long time.,0,0
I think that is so cool!!,0,0
It's the lab in CA that does tthe Oncotype test.,0,0
"...must be a friend of Lillya's, srpetre, and benzthere!",0,0
"But when we lost folks in here, in the CSN community, it seems to have an impact surpassed only by that of losing a family member or friend.",0,0
"... she'll be happy to have people around, but you will need to consult her on when it makes sense.",0,0
I was on Iressa for 9 months before it stopped working (my tumor began growing again).,0,0
The <PERSON> trial has worked well for others in your position.,0,0
This doggone thing just doesn't react the same way in everyone!,0,0
Thanks for sharing the good news about your dad.,0,0
"I was diagnosed as stage 3a,- and inoperable/incurable, at age 67.",0,0
Truly all the best to you and hubby.,0,0
I hope you had a great birthday Lola!,0,0
"I guess severe diarrhea can happen to normal levels, too.",0,0
"My motto ..  we need to maintain all that the Good Lord has provided us -- !Gentle hugs,<PERSON>",0,0
I was so sick and couldnt stand for days after each chemo cycle.,0,0
Oh yes...chemo brain is alive and well in our land!,0,0
"I am wishing you the best, sweetie.....take it easy, rest when ever possible....you deserve it!",0,0
Got lots of Good products and tips from super sweet people.,0,0
I was told that with what will be left it would equal to having one lung.,0,0
"I have been doing breathing exercises that were posted on this site, using my spirometer and will start Pulmonary physical therapy next week.I wish I could tell you more about therapy but please encourage your mother to try it.",0,0
New Flower thank you for your support.,0,0
It is imperative to know details on the consequences that may arise from a therapy.He needs to approach the situation coordinately and timely.,0,0
I has worked wonders for me.Ellen,0,0
"My doctor told me it's not a curable disease, but manageable.",0,0
"On weekends, it tended to happen an hour or two later.",0,0
Anyone have any advice on having both breasts removed?,0,0
"The left side is triple negative stage 3c, and he indicated he would take several nodes from that side.",0,0
i will be sharing this site with my siblings when they visit today.,0,0
"This is quite a journey, even when it seems it should be over.",0,0
"Congratulations and may you always have a good mammogram with the words ""all clear, see you next year!""",0,0
"Of course 5 mins later when I said my prayers and the nurse told me to breathe in deep and breath out slowly,I was out like a light.",0,0
It turned into a staff infection and really knocked me on my butt.,0,0
"He is the most loving, caring and wonderful man a women could ask for.",0,0
Although I am homesick there have been some good things about being here in Phoenix.Hopefully everybody is enjoying the weekend away from tretments and focusing on things other than cancer!,0,0
"I go for tests, mammo etc and dont' panic while i wait..ONE TIME HOLIDAY weekend, nurse called said DONT"" want to make you wait..and I forgot i was waiting for results..I KNOW I am the odd one..even at start of all this Jan 2008 when I got the call back for mammo next day thought no biggie, then sent to biospy NO BIGGIE!",0,0
It was disappointing to find out that it had spread to the lymph nodes.,0,0
"We go to doctors because we trust them, hopefully.",0,0
"But as you've said, the nipples have flattened somewhat and the tattooing has faded.",0,0
I'll ask about using the calendula gel too.,0,0
"Adding more prayers now for her family, friends - all who know & love her, including so many of us here.",0,0
God Blesd you for helpingGracie,0,0
Everything seemed to taste like paste.,0,0
"""Good to know.The little mutated bastards dont know when to die, can't produce serum sometimes... but they sure can  replicate.",0,0
Rads kill any stray cancer cells left behind after surgery.,0,0
How much is a round?,0,0
MRI and head scans shows everything is in the clear.,0,0
"Continuing to pray for us both, we are all in his hands.",0,0
"   Well, you are on the best site for survivors, and stories of survival.",0,0
My mom was dx w/SCLC with Mets to brain on 3/1.,0,0
medi i needed that.... your an Angel..... <PERSON>,0,0
They always worked for me I think they are  a good test.,0,0
"Don't know about more chemo.......darn, just had my port removed 2 weeks ago!",0,0
"hi, I have small cell lung cancer, I am in remission two years last february.",0,0
I have been on maintenance chemo of alimta and avastin since August of last year.,0,0
He will be on a very low dose.,0,0
Tissue expanders have left the building ..  Yipee!,0,0
"All this time, just left me time to be scared more.",0,0
I'm so sorry to hear about the recurrance.,0,0
"In the past, when I was in treatment, or recovering from surgery, I felt I belonged here.",0,0
Additionally the lung had adhered to the chest wall so they had to scrape it off.,0,0
He said my chest healed very well from rads but my fall on Memorial Weekend left my left body very bruised.,0,0
My left breast ws deformed from the lumpectomy.,0,0
"The consumption of information has been exhausting, not to mention the sorting of biased vs objective, and I am still doing it as we I type.",0,0
"You have not shared details of the initial diagnosis (PSA, DRE, symptoms, image exams, clinical stage, etc) so I would think that the doctor is talking about a neoadjuvant treatment that has already been planned before the surgery.",0,0
They also put her on a drug that was just approved by the FDA for sclc mets to the brain in August called temodar.,0,0
Please keep her in your prayers!.....thank you!,0,0
"Natly sounds like there is some improvement which is great, I will continue to pray for the little guy!",0,0
It is very depressing to think that we are constantly moving towards death.,0,0
"A day or two later, the tubes came out and they put me on ibruprofin and lots of it and some oxycodone.",0,0
"But, so glad that he is gone and your right.....only happy news from now on!!",0,0
It may happen over such a long time that other health risks may impose themselves prior to the lethal stage.,0,0
I got silicone implants back in the day when it was fashionable.,0,0
"Share stories with your children of how you and your wife met, how you fell in love, and how much she loved her children.I will keep you in my prayers.<PERSON>",0,0
The <PERSON> worked the best for the longest.,0,0
"Enjoy bonding with that precious, baby boy...They're the best medicine!Hugs, <PERSON>",0,0
"And if it didn't come with my doctor's stamp of approval or if it decreased my pocketbook without appreciable benefits, I'd skip it entirely.",0,0
"I remember that first week, I would shake uncontrollably after I showered.",0,0
What beautiful poems.I appriatte it so much.I will feel the presents of you sisters Prayers and love when I am walking in to see the Dr.You remember the feeling you have to fight off.Like when it feels like your knees are bending from fear.Thanks again.love you all.,0,0
DOES THIS MEAN HE SHOULD HAVE HAD SURGERY IN THE FIRST PLACE OR AT LEAST AN INVESTIGATIONAL DRUG IN THE FIRST PLACE!!!!!,0,0
Sending prayers and strength for your sister.,0,0
"If the cancer is found early, there is a great deal that doctors can do to help your grandpa - which includes curing him.",0,0
"I am not on tamox, so, I can't relate totally to what you are going through.",0,0
It's more common for hair to start coming out about two,0,0
"After swallow tests, esophagus probes and other procedures found no problems, an Ear/Nose/Throat doctor prescribed 1.25 MG of diazapam per day.",0,0
"My second bout with BC was 3 years ago and HER-2 testing was not even available then, that is how new it is.",0,0
The drains were a pain but my flat belly looks great!!,0,0
I stopped and as of now have no plan to try another.,0,0
I was lucky mine were grown and left the nest.,0,0
"When you talked about the husband, I knew exactly what you were talking about, I had one several years ago and gave it away.",0,0
A must for the ones contemplating hormonal therapy.,0,0
I guess the worst part was feeling there is no one to talk to and no one that actually understands.,0,0
Rads are done and cruising in 2 weeks!,0,0
Sounds like your cancer has grown very slow.,0,0
I hope this goes smooth for you and that all outcomes are great.,0,0
God bless and I will pray for you.,0,0
Isn't it wonderful to have something to rejoice about during the journey?,0,0
(That hospital doesn't have a good operating room record!!),0,0
I have that same bulge same place as yours and also right under mastectomy side.,0,0
"I probably will have the Biopsy done, but I will wait a couple of weeks until July when I get on Medicare, and have the procedure done outside of the VA system.",0,0
Wanted to bring a little light and hope to anyone battling this disease.,0,0
I was diagnosed with Stage 1a nonsmall cell carcinoma in my right middle lobe in July 2007.,0,0
You want to stay alive to win the war--not die in the first skirmish.,0,0
<PERSON> you had a great day with Art and Corvette Guy.<PERSON>,0,0
"When I started showing signs of neoropathy, my Onc increased my vitamin B6 from 100 mg a day to 150.",0,0
Get out there and buy those wooden shoes!,0,0
It's a wonderful feeling to share good news with others.Hope you have a wonderful weekend also!!,0,0
"Kathi  Oh how I hope I can say those words some day about myself!You are giving me the courage to face this battle a second time around.God Bless You,  <PERSON>",0,0
So far no bad taste in her mouth YET.,0,0
"Jorola, I got a recommendation from one of my friends and he shared the fab page of https://www.campisilaw.ca.",0,0
"Fantatic news, mamacita is right a victory for all of us in this fight...... Keep it going.. <PERSON>",0,0
Here is a link to a medical article on PASH if you wish to read it:  http://www.jfponline.com/Pages.asp?AID=4704 .,0,0
He has been depressed and snappy towards my mom and I but i can only imagine what is going thru his head right now so i just brush it off.,0,0
"Thanks back at home.. Me, the wife, the two sons and <PERSON> my loving Beagle.",0,0
Good luck with your numbers and your perspective on life is very inspirational to us.,0,0
"*´
¸.•´ ¸.•*¨)¸.•*¨)
(¸.•´(¸.• (¸.•´¸¸.•¨¯`•.¸¸.♥Happy Birthday to YOU!!!",0,0
Tell your husband thanks for his input too!,0,0
Im glad that you are almost done.,0,0
I would feel more comfortable having an expert review this.You have given me hope and I'm so grateful for that.,0,0
Her right femur was very weak so she had surgery to have a rod inserted.,0,0
It's such a good feeling to put those milestones behind you.,0,0
Good for you............we are all soooooooooo proud of ya!,0,0
"I, too, am so tired of being tired and sick.",0,0
It will be interesting to read the comments that are made here.,0,0
"That was an excellent speech, just so, so good.",0,0
"Then onto the next step, <PERSON>...Yippee!Jenifer",0,0
what a nice ornament surprise you received today.,0,0
ONLY then did I look up this site to see IF I am in fact I am a survivor!,0,0
Take care friend and prayer said for you for a good outcome.,0,0
You certainly have seen your share of doctors today!,0,0
She had CyberKnife done and was told in December that the tumors were shrinking and cells were dying.,0,0
"I guess you decided to follow your MO's advice, as you start chemo tomorrow.",0,0
"Getting it done at a teaching hospital is a good idea, as they have some of the best doctors in the country.",0,0
"Hi <PERSON>
It is nice to read another post of yours.",0,0
Would that be by the number of positive cores?,0,0
"I hear that if you can be operated on that that is usually the best, but I am not sure.",0,0
And so happy that you will going to parents weekend aat your daughter's college.,0,0
"And look at your husband, he looks so proud of you.",0,0
I can't wait to learn more.,0,0
"So last night I hit the cheesie balls, the ice cream and the cranberry bread.",0,0
I have been noticing lately I get such sharp shooting pain like someone takes a knife and twists it coming in from the side.,0,0
So there is no kind of help that when you get sick and can't work they help you live and give insurance?,0,0
It'll be 3 years since diagnosis in April and I'm still doing mammos that way.,0,0
She already had emergency surgery for brain met and now i feel like i got her back.,0,0
Wishing you all the best on your very special day!,0,0
"The pain was well-managed, except the day after surgery when they mistakenly took my pain meds away!",0,0
Maybe her mouth runs faster than her brain.,0,0
She lives in Texas and I live in New York.,0,0
I was diagnosed with Stage 3B adneocarcinoma (<PERSON>) at age 32 and just wondering if there is anyone else out there that is my age dealing with this?,0,0
"People who would pray with and for me, and just listen when all I could do was cry.",0,0
"The good Lord answers prayer and still does miracles.Stay positive,<PERSON>",0,0
Cafe au lait and beignets and holding your hand!,0,0
The doctor prescribed an anti-nausea drug last week but it doesn't seem to help very much.,0,0
This year I think I will go to a benefit that my hospital is having for our new cancer center.,0,0
It really makes me happy if I can share my photos and bring some pleasure to folks.,0,0
You will feel much better once you take control.,0,0
"“...First, in men with high-risk disease at diagnosis, the cancer is still limited to the pelvis in three quarters of men and potentially curable with radiation.",0,0
It is set up differently and there is a whole thread for Alternative Theropy as well as one exclusively for stage 4 survivors.,0,0
"My oncologist is looking for the perfect recipe :)I've had diarrhea, flaky, spotty skin, etc, not so bad now.",0,0
<PERSON> that your chemo went so well for you!,0,0
"Again, clear it with your doc first.I hope any pain you are having from mets is under control?My best to you, stayingcalm*as far as spelling goes, remind me to tell you sometime how long it takes me to type a sensible message since my recent tumor removal =(",0,0
Good day and I hope you had a nice Christmas.,0,0
Janet thank you for checking for the rest of us.,0,0
Pet scan shows bone metasteses to back and hip.,0,0
"We will be referring to the drains as tentacals, keep  watching the victoria outlet sales.",0,0
"I'm definitely up for a chat once a week, or more if desired!",0,0
"Just would like to add my doctors,my family, husband and kids.",0,0
You may want to discuss clinical trials with your Doctor.,0,0
I drink lots of water and walk  a few miles 5 days a week--that must be helping.,0,0
Happy Birthday dear Heather Happy Birthday to you!,0,0
I've learned that I am braver and stronger than I thought too.,0,0
I know it makes me feel depressed.,0,0
You sound like a great man!,0,0
never did my blod counts would always climb right back up before the next reatment.,0,0
Any thoughts on the subject are appreciated.,0,0
"I hate knowing this, but the Original <PERSON> club was on from (gulp) 1955-1958....",0,0
Pain in my legs and all muscles was unbearable.,0,0
You have been thru so much.,0,0
It seems like my left lung is doing all the breathing for me.,0,0
Based on the 3 reports we were dealing with possible BC again but in the lungs now.,0,0
I have had to use the calendar on my phone for everything even coffee with a friend.,0,0
My grade was a 3 and I know that for young people the risks go higher because of age.,0,0
I agree WOOOOHOOOO Gemzar is buying him time!,0,0
I thank this site for allowing me to hear how folks who share my fears are coping.,0,0
I started on TAC on Jan.18 and I felt every side effect.,0,0
"So, ONE big bonus from rads, no shaving.",0,0
Been riding the same emotional roller coaster myself.,0,0
"HI, My mom is also Stage 4 patient.",0,0
i am caregiver and day to day is up and down.,0,0
"Deidra,I don't have triple negative breast cancer but I have read about a new treatment which might be what you are getting.",0,0
"(I had done several before BC)
It took quite a while to get back to that level, but it was worth it!",0,0
It would also have been interesting to live with one breast for a while and see how it felt.,0,0
My sister was diagnosed with Stage 4 lung cancer.,0,0
"Thanx all for your comments......the 55 staples once then, the 65 staples 6 mo later make only 10 staples !!",0,0
will it get better or worse.it is so embarassing please help me if you can.,0,0
"I was recently diagnosed with Stage IV Lung Cancer, adenocarcinoma to be specific.",0,0
<PERSON> everything went well without any problems.,0,0
"People get too caught up in following PSA results one by one when they do vary naturally and they are also subject to lab error, it is the trend that is important.",0,0
It is not a pain but a sensation.,0,0
I was diagnosed 7/08 with stage iv lung cancer due to one metastatic site in some lymph nodes under my arm.,0,0
Lots of naps and good nutrition helped too.,0,0
"I have fared well, thus far, so thanks again for the post.",0,0
So too much wine will undermine radiation.,0,0
"Now that is good.After surgery, hormone therapy and radiation I seem to be about half the man I used to be.",0,0
If you have any suggestions I would greatly appreciate it.,0,0
I am very easy to reach from Milwaukee...about 1-1/2 hour drive to my house.,0,0
Good news on the bone scan --- no evidence of CA beyond the prostate.,0,0
"Surely you are sad, but don't be too put off when u also have moments of peaceand comfort.",0,0
"But the one thing that you have continually said that is a comfort is ""YOU ARE NOT ALONE""",0,0
It is not insensitive at all to share your good news.,0,0
"I hope all goes well, I will be thinking of her.",0,0
"I read your post yesterday...I thought about how shocked and hurt you are.I think that as you obtain more infomation about your condition, your thoughts will be concentrated on your fight with this beast,rather than about what rude people think.Don't waste your mind/body energy on this.I wish you good luck with your procedure.You have found a very supportive site.Caring people who understand and you'll learn alot here too.Learn as much as you can.We are here to help.",0,0
"I just thought it was really bad, that he felt to go no further.",0,0
I’m new to this site and apologize if I’m posting on the wrong message board.,0,0
I really liked her and she was able to reduce the swelling in my arm by two inches.,0,0
I have been thinking about the subject for 8 months since I was diagnosed with advanced ovarian cancer.I am not religious and I support the right to end terminally ill <PERSON>'s life by suicide or euthanasia when there is no hope and quality of life is unacceptable.I am neither depressed nor suicidal and I don't need referrals to suicide hotlines or bible references.I will fight the disease for as long as it makes sense to me.I don't want the mess or emotional trauma to the loved ones.I live in Canada where help with euthanasia is a criminal offence punishable by up to 14 years in jail.,0,0
"So glad you found an Oncologist that you are happy with & he spends ""quality"" time with you.",0,0
The fact that Glaxo is considering ending the trial must mean that their overall results were less than promising.,0,0
My cancer was localized within the lobe and no spread to the lymph nodes.,0,0
I left my moms house in a daze.,0,0
Would run my fingers through hair and come up with tons.,0,0
They've got some of the most incredible doctors in the world there and they've seen me through two different dx's of cancer:  breast and lung.,0,0
He has followed a number of patients who were successful for 15 to 20 years with this.,0,0
(he quit smoking about 18 years ago) He has gone through 2 rounds of chemo.,0,0
"Just listen to your body, it will tell you if you are pushing to hard or not.",0,0
Prolia also has side effects that can be uncomfortable at times.,0,0
"Yes, I did have my middle lope removed.",0,0
"But I dont live in the future, I live for today because you never know what the future holds.",0,0
