Sentence,Joy,Split
The university teaching hospitals with cancer centers tend to be on the cutting edge.,0,0
We've been told that some physicians may take offense to the request and deny.,0,0
"With reference to MUSE - my question was : Does the use of MUSE in any way increase the
psa numbers?",0,0
"However, new symptoms have doctors insisting it's time to let go.",0,0
"I wonder, where do you live?",0,0
<PERSON> if at all possible.,0,0
Are we rockin now or tomorrow?,0,0
They took out my upper lobe on the left side.,0,0
Happy to hear got through it all with hubby and so sorry about couisn/friend...I HOPE things works out...<PERSON>,0,0
"I started a thread early this week asking for pre-chemo advice for my wife, and got some real helpful suggestions.",0,0
She is a spoiled baby in a adult world.,0,0
"My brother's doctors told him (Feb 1, 2011)he can't return to work until after the treatments.",0,0
One minute we are laughing and the next we are crying.,0,0
"Radiation reduced the size of the tumor by 75%, making surgery possible.",0,0
It breaks my heart to lose Marsha who was beautiful inside and out.,0,0
"I am not sure why, but they will not do surgery to remove the tumor from her right lung bottom lobe.",0,0
"Also, what type of clinical trials are they looking into?",0,0
I'm going to be brief and basic and try to strike a balance between humor and seriousness.,0,0
I have undergone some treatments and refused others.,0,0
I found two ot's that job shared that massaged my scar tissue and taught me some stretching exercises and simple yoga techniques as well.,0,0
He did smoke for 20+ years but quit in 2004.,0,0
"The side effects were very bad pimpling(large white heads)of the skin, mostly the face.",0,0
"I'm still very, very tired due to low white cell count.",0,0
My dad was diagnosed 3 years ago with NSLC followed by a total left lung pleurectomy.,0,0
Alimta required me to take B12 injections prior to receiving the med.,0,0
As one of your dad's caretakers your experience can help others as well.,0,0
"He will be starting chemo and radiation this week, very aggressive.",0,0
Straight after wearing the first one I got a horrible rash under my left (Good) breast........It Won't Go away!,0,0
Many many adults have fatty spots on their liver by middle age.,0,0
During this diagnosis period I was 8 1/2 months pregnant with our first child.,0,0
I decided to go for a second opinion at Chicago's Northwestern University breast center.,0,0
I have been through radiation and 6 weeks of chemo with what was supposed to be Taxol and <PERSON> for inoperable NSCLC.,0,0
"I was originally diagnosed as 3B with a large tumor in my left lung, amd tumors in my lymph nodes.",0,0
I have been reading a bit about the HIFU.,0,0
"If you are older, try not to be the mom.",0,0
I want to thank you all for your support over these last 6 months.,0,0
when they found it it was already in the extrem stage.,0,0
The Chemo worked for her but the last treatment almost killed her.,0,0
"Thanks for the encouragement...  As for walking, I have the oddest (or at least I think it is odd) situation - my feet (especially my right one) are killing me!",0,0
If it's expensive no doubt the insurance company will deny it to us though.,0,0
Sorry about the need for SRT.,0,0
I hope all is going well with you and your mother.,0,0
I had my prostate removed two years ago The PSA was undectable for a while and went back to a 3(June 2011)  from  being undectable.The Uro sent me to a radiation specilist.,0,0
"Original dx was L4,L5, T11, T12,Pelvis, both femurs and both axillae.",0,0
I've had several friends with uterine or ovarian cancer.,0,0
"She had 12 brain rad, then it moved to spine, so 12 more rad, then 3 rounds of chemo.",0,0
I have fibromyalgia and my memory isn't what it used to be so he worries more about me than himself.,0,0
The best way to verify refractory is through a testosterone test.,0,0
I would like to read more about her reconstructive surgery technique.,0,0
radiation only to the left side where mastectomy is.MOLLYZ,0,0
there is scarring andnodularityat the periphery of the left lung.,0,0
"Our Prayers and Best Wishes to Your Mom, You, and Your Family,
  Dan (<PERSON>) and <PERSON>    NEVER GIVE UP HOPE, WHERE THERE IS HOPE THERE IS A CHANCE.",0,0
Unfortunately the pathology  report said the cells were malignant.,0,0
she will fight and win and so will you!,0,0
I too had acid reflux along with phenumona 4 weeks after surgery but have gotten all my strength back.,0,0
"Having trouble with dizziness, but that was already started before chemo.",0,0
"I think the more you involve them and explain things as they are happening, the less likely they will be to retreat.",0,0
"Basically an MRI is done where suspecious lesions are targeted, and a sample is taken of these targets.",0,0
"The mornings are the worst, forget about a good nights sleep.",0,0
I am going to have something done not sure what i can have done.,0,0
"I am so very, very sorry that this has gone on and on as you describe.",0,0
I  am now on a different course of treatment as I can not take nay of the platins.,0,0
Waiting to go into clinical trials next month.,0,0
"Alice...does the 9 before the yes, mean 9 times in one night????",0,0
"<PERSON>.Thank you so much for the links and the best wishes.I used to visit this site often some years ago, but the breast cancer discussions boards, never really navigated away from there.Again ThankssgamtdEdited to add: the urologist cannot see him until end of July, and that is a long time to wait in pain.",0,0
I know what it's like to lose a parent.,0,0
That took about an hour to spread through my system.,0,0
The side effect that isn't obvious is bone loss.,0,0
"Recently, we lost our dear yellow lab Bodhi to cancer.",0,0
I feel like he falls in to the 5% survival group because his cancer has not spread but I would like to hear from others who have had it and survived of any hints and helps you can give him.,0,0
Science Friday will be discussing the Drug Companies and whether they are interested in Cures or Profits tomorrow.,0,0
"Hi Nancy, I got a lower back tattoo last summer of a pink lotus flower to signify my cancer journey.",0,0
Have the nurses teach your husband to give the shot.He can get comfortable by practicing first.,0,0
hi <PERSON>  thanks for the post as of today hubby still weak cant walk without walker sometimes his feet and legs are a mess even with physically therapy that we do everyday not getting stronger i guess the cancer is taking a tole on his body still hoping the tarceva will slow it down  will know in 2 months if it is helping will do another cat scan to see how are you feeling gregg can you walk now at all please keep me posted praying for you are you still in treatment hang in there this cancer is a bit,0,0
That's also one reason that it is so hard to cure.,0,0
"My doctor says increased psa is common with xofigo, as it ""irritates"" the cancers cells and causes increased psa production.",0,0
My tumors are small and localized to the lungs.,0,0
Those seem to be the main ones I remember.,0,0
"Hi am on taxol and <PERSON> for my cancer I too have steroids which cause my fingers to be tingly, But not that painful.",0,0
They said maybe a little snow on Christmas.,0,0
I really appreciated hearing from someone who has had the spinal fusion.,0,0
I hope her family knows how much we all loved Mama G and how all of the pink sisters have been praying for her here.Maybe it will give them some comfort and peace knowing how much she meant to us.,0,0
Anyone have any advice on having both breasts removed?,0,0
i will be sharing this site with my siblings when they visit today.,0,0
"My endocrinologist has had me on FORTEO shots in my tummy daily, which I had to stop when the BC rose it's ugly head.",0,0
"I know it's last minute, but do any of you have any special recipes you'd like to share that is a family tradition?",0,0
The house is so dark and quiet without him.,0,0
It turned into a staff infection and really knocked me on my butt.,0,0
"I go for tests, mammo etc and dont' panic while i wait..ONE TIME HOLIDAY weekend, nurse called said DONT"" want to make you wait..and I forgot i was waiting for results..I KNOW I am the odd one..even at start of all this Jan 2008 when I got the call back for mammo next day thought no biggie, then sent to biospy NO BIGGIE!",0,0
"Went through the same thing <PERSON>, endoscopies looking for iny bleeds in the gasro area.",0,0
I live in fear that my father will insult me or yell at me--my god!,0,0
Keep positive thoughts as you go for your surgery and for your check up.,0,0
I start boosters next week.,0,0
I agree to call every hour on the hour.,0,0
Basically people are dying from this stuff and it isn't getting any attention from the general public even though they are at risk.,0,0
My mom's doctor counted that as not an option since she was not a match.,0,0
"""Good to know.The little mutated bastards dont know when to die, can't produce serum sometimes... but they sure can  replicate.",0,0
My father could use the inspiration.Praying for all who are going through any cancer!!,0,0
"I have to say I've never had many of the ""dreaded' effects, hardly any sweats, hot flashes.",0,0
