Sentence,Sadness,Split
May all your wishes come true and may you have many more happy & healthy birthdays in the coming years.,0,0
"With reference to MUSE - my question was : Does the use of MUSE in any way increase the
psa numbers?",0,0
They keep coming in every hour or so to do neurology tests to make sure his brain is working properly.,0,0
My wife is the one with stage 4 lung cancer and I have cll.,0,0
"However, it will be a few days before we get the results I suspect.",0,0
I'm taking it one day at a time but with a very positive outlook.,0,0
Sneezing and yawning do still hurt but it's getting better with time.,0,0
"I am still a little groggy from the meds, but am so blessed to not have to take the pain meds at home.",0,0
"What does seniors have to do with forgeting the name of people?Let's celebrate with green tea this time.Best,VG",0,0
"I started a thread early this week asking for pre-chemo advice for my wife, and got some real helpful suggestions.",0,0
"Flat belly - NOT, left stitches open and the scarring was thick and long and left with dog ears on left & right sides.",0,0
Cancer has been driving me around for ten months now .,0,0
"I saw a surgeon in January, and I declined surgery right away.",0,0
"Today is better, so hope it works after a few days!!",0,0
"you got it,your comming in loud an clear",0,0
"I feel your joy and relief, how wonderful!",0,0
I was on Gemzar and Carboplatin for a time when first starting my chemo in February of 08.,0,0
You have to build up to it.,0,0
How long will the side affects of chemo last and what can I do to help her cope?,0,0
Enjoy your new look....you worked hard to get there.,0,0
"Also the morning of chemo, have a good breakfast and plenty of fluids.",0,0
"In surgury they found the cancer had spread to the outside of the lung, stage IIIA.",0,0
I hope yours  goes as  well  as mine.,0,0
"He's a fighter, and his oncologist says that he has a very good prognosis as it was caught so very early.",0,0
I get lab work done before each appt.,0,0
The miracle mouth wash that they prescribe is supposed to work for that.,0,0
Being run down and stressed can cause an outbreak and it is excruiciating!,0,0
Get support from your friends and other loved ones.,0,0
that is amazing that you worked through this!,0,0
Can anyone recommend a thoracic surgeon for lung cancer at M.D.,0,0
that is what my visits consist of and i thought they were the standard until i started reading this board.,0,0
"However, I think he needs more than just the chemo he is getting.Can anyone tell me if this type of treatment can help?",0,0
Hope everything works out well for you.,0,0
I have nothing decent to wear the pearls with.,0,0
My caretakers told me that I was hallucinating.,0,0
I'll have to catch up some sleepless night!,0,0
I could do a dance of joy for you.,0,0
Thinking back to my lumpectomies I remember this happening.,0,0
I agree about the frustration of memory loss.,0,0
I ordered some tshirts from that site too and love them!,0,0
My PSA tests have remained stable for the last year during my course of watchful waiting.,0,0
Way to go <PERSON> everyone on this board is celebrating.,0,0
Someone was on my side...the treatments went will and shrink the tumor more than half.,0,0
Your hair color is still beautiful--it matches your complexion so well.,0,0
well here we are at the 2nd scan and it has increased however he is  sick with the flu so i just dont know?,0,0
The <PERSON> trial has worked well for others in your position.,0,0
I took tamoxifen for complete 5 yrs (2 lumpectomies one time caner) I did have hystertomy due to the MED....(3 yrs ago),0,0
Hi everyone and I would like thank you all in advance for any input you guys have.,0,0
I trying to set-up on appointment with a radiologist now and don't know much about what to expect.,0,0
"I am doing very well, back to work.",0,0
Thought I'd check in and wish all friends.,0,0
Reading your post will make my next hour a happy one!,0,0
New Flower thank you for your support.,0,0
The muscles in front don't work quite right now and so I get muscles aches in back from the strain.,0,0
my reduction was from cisplaten but the side effects were long lasting today.,0,0
"And Kathi, thanks for recounting your conversation with the nurse.",0,0
"That I am, both home and on the mend, or at least I hope so.",0,0
It seems I keep getting more and more negative news everyday.,0,0
"lol  I think I like the routine, even though, it is kind of wearing on me now.",0,0
" I was diagnosed with sclc limited stage in 2003-my doctors recommended that I do the pci, for me, the decision wasn't hard to make since I already had the bladder cancer 2 years earlier.",0,0
"Went through the same thing <PERSON>, endoscopies looking for iny bleeds in the gasro area.",0,0
The doctors will try to do whatever the patient decides.,0,0
"I have to say I've never had many of the ""dreaded' effects, hardly any sweats, hot flashes.",0,0
"I'm worried about the side effects of tamoxifen, including additional cancer, and am seriously considering refusing that treatment and seeking out alternative medicine instead.",0,0
"Once the tests are done, sit down with a doctor that you trust, go over options, research it,and call your local cancer research center.",0,0
So happy for both of you!!,0,0
I thank you all very much for your sharing your stories and for your input here.,0,0
"By end of a month, complete hair loss.",0,0
At first I could barely walk around the block but am now putting in several hour hikes.,0,0
"How are you doing with your treatments?Hugs, <PERSON>",0,0
"hey guys, it's just about more than I can handle now.",0,0
Pinkflutterby:Haven't been here for a while; I LOVE YOUR PROFILE pic!!,0,0
I said i would like a chest X-ray since I quit smoking.,0,0
"You didn't need this on top of the upcoming hysterectomy, but let's think positive and assume it's a benign cyst or something.",0,0
I am not great on the computer but I am trying God Bless You,0,0
such a simple word but i forget simple words.,0,0
The fluid contained malignant cells and the cancer was determined to have spread to the lining of her lung.,0,0
I know what your dad is going through and my heart goes out to him.,0,0
I bought me an expensive wig but hated it.,0,0
I'm so gald to hear it is working for your son!,0,0
If I am diagnosed I will be planning on living with someone who can assist.,0,0
Then gave me 2 scripts for very expensive inhalers.,0,0
He is in hospital now and I am happy he is there as at least someone will be there.,0,0
"Interested in any side effects, including whether that poses any risk to my teenage daughters.After reading here, it seems like I owe it to myself to go visit the proton therapy center at IU-Bloomington.Any thoughts appreciated.",0,0
"...sorry, duplication!Best of luck, strength and prayers for you.<PERSON>",0,0
It just keeps getting better...I am so happy for your family...and it is amazing to see your own child becoming a parent...I've watched both my son and daughter....I say grands are God's reward for raising their parents!,0,0
"Also, my cholesterol in the past (before cancer) was always around 248...now, it's below 200!!!",0,0
I ask because I live in Michigan and actually work in Ann Arbor.,0,0
I can't imagine how scared you must be.,0,0
Isn't it wonderful to have something to rejoice about during the journey?,0,0
(That hospital doesn't have a good operating room record!!),0,0
"By the way, he is taking a lots of herbs too.",0,0
aww your daughter & granddaughter sound like sweet hearts.,0,0
He went through chemo (cisplatin) and rads and got the all clear in October.,0,0
I'm anxious to hear how you make out.,0,0
"I was advised to have either <PERSON> or surgical castration, I chose the <PERSON>, because surgical castration is forever, wheras <PERSON> runs out after several months.",0,0
"I read your note, closed down the site feeling very happy and positive about your note.",0,0
"have had patients with similar problems in the past.Once they got the readings set, the treatments went by quickly.",0,0
I will pray for you and any and everybody that has to deal with this.,0,0
He is getting weaker by the day and packing up his apartment (as small as it may be) has become a challenging feat.,0,0
It is very overwhelming being diagnosed with cancer.,0,0
"I know how hard it is, but, you did it!Hugs,Lex",0,0
Thank you for the information and I hope your husband beats this monster.,0,0
i make 15 cents more a hour and i live alone.,0,0
