Sentence,Surprise,Split
I even watched how to make a scarf out of a tee shirt.,0,0
I believe the scoring is from 0 to 6.,0,0
I was advised to take 1 Claritin  and 2 Tylenol one hour before the shot.,0,0
"Hope your day is filled with joy and happiness (and of course, cake and ice cream)!!",0,0
"I wonder, where do you live?",0,0
Thanks for posting such an uplifting and sweet message.,0,0
had too go too the er sunday night.,0,0
"The breathing exercises, I feel, were the most important, for they help supply the oxygen needed to move around.",0,0
Please let's get together on this...It's very important!,0,0
"you got it,your comming in loud an clear",0,0
"Guys I once again have faith in the human race u ae all so wonderfull,all I want to do is eliviate suffering and yo actually CARE ALSO my wife Dolores has come out of surgery with a very bad prognosis but she is one hell of a fighter.......PLEASE E-MAIL HER DIRECT AT dhopps@freemail.absa.co.za she needs to talk to you ,Guys I love You all stacks and I wish you all the best ,over but not out from Sunny South Africa.....please do keeep in touch...........",0,0
I signed my daughter up for softball to keep her busy which starts soon.,0,0
my husband just went through 1.5 years of treatments and we thought he was in remission but it is back in his lungs dose anyone know anything about this,0,0
I didn't have mouth sores but my tongues taste buds were inflamed.,0,0
Had to go back to lab to try and give blood again.,0,0
I still am scared while waiting for results.,0,0
"Of course by the time you need it, things may change.",0,0
"Sometimes, dare I say it (?",0,0
"Normal fluid levels are between 2 and 3 TEASPOONS...no wonder I cough so much, huh <PERSON>?!",0,0
"I begin my taxol treatments tomorrow, and I'm praying that it won't be any worse than the A/C was--I had my last A/C 2 weeks 1 day ago, and I still have some numbness in my fingers!",0,0
yuck i hope you guys get better and you get a break!,0,0
You are taking Taxol and I have read such horror stories about that drug,0,0
that is amazing that you worked through this!,0,0
"Physically everything is fine -- heart function and all of that, I've tried to do some research but can't come up with anything.",0,0
Congrats on the 1/2 way point!,0,0
"But, I don't like the fact that the chemo took something from me without me having a choice in the matter.",0,0
I would call that a celebration Deb!,0,0
I ordered some tshirts from that site too and love them!,0,0
"However, the surgeon I met with  yesterday said he may be able to remove the whole lung but wants to wait and see how the chemo and radiation shrinks the tumor.",0,0
"I hope you can keep busy and distracted, and keep positive thoughts.",0,0
I will keep you in our prayers.Ann,0,0
Way to go <PERSON> everyone on this board is celebrating.,0,0
I hope this helps you!,0,0
and pelvic refused to accept this i prayed so hard and so did everyone i knew.,0,0
doc scoped the urethra to confirm the cause of a smaller urine stream and back to surgery I went.,0,0
"Doctor said it was from depression, put him on Prozac....it's happening again.....anyone else out there that has experienced the same situation?",0,0
