Sentence,Trust,Split
My body is sick of being sick and tired.,0,0
I think I like the 4 hour one the best!,0,0
All I knew about cancer when I was first diagnosed was that people died from it and that's not very settling.,0,0
"BETWEEN THE TWO CANCERS, I AM SO CONFUSED AND FEEL SO ALONE.",0,0
The radiologist said due to the pattern it didnt suggest mets.,0,0
CalifvaderGlad to hear that you are doing well.,0,0
"I bet <PERSON>, and your son are over
the moon at little Lincoln's arrival.Doing my <PERSON> hap <PERSON>py dance for you!Vicki Sam",0,0
They did it and it worked.,0,0
However her second round made her really sick everytime to the point we stopped.,0,0
"She is a happy, free-spirited, intelligent <PERSON> who loves life and lives it to the fullest.I admire and love you dearly and am so proud to call you my friend.Love and hugs, <PERSON>",0,0
Im so grateful for this site and all your kind and imformative responses.,0,0
On Nov. 22 we learned that my husband's sister has AML Leukemia.,0,0
"i think it is a good idea to just shave it all off because, it will be easier on you.",0,0
He did say if it was too hard every 2 weeks I could drop it down to every 3 weeks.,0,0
The hospital she goes to probably has a program for patient's families.,0,0
Nice to read that you made another significant step forward.,0,0
"I hope I do as well as you God Bless
                                                    (((Hugs))) Janice",0,0
"Omg, this is the funniest one yet!",0,0
Here is wishing you had the best day ever!,0,0
The job is with a local University in the Division of Diversity and Inclusion  My position is the Equity and Complance Investigator.,0,0
I was overwhelmed how much support I got from friends and family.,0,0
"Most side effects have been nausea, tiredness, and awful metallic taste in my mouth.",0,0
Is one shot every month is enough to control the disease.3.,0,0
I didn't know and lucky for me my medical caseworker called I couldn't talk right my tongue was swollen.,0,0
I had entire left lung removed 20 mo ago.,0,0
"I'm heading off to checkup tomorrow, and it's always a scary thought.",0,0
"Radiation reduced the size of the tumor by 75%, making surgery possible.",0,0
"Me2, but unfortunately they just told me yesterday the area will probably get worse!",0,0
one day we think we are fine and the next day find that we have cancer.,0,0
And even though you have the knowledge this still may not help your fears.,0,0
I visited the cancersurvivor site and it is nice.,0,0
I started having real bad pain in my left wrist in May.,0,0
"I can discuss the things a little more openly with you without the fear of stressing my wife who is battling through complications with her own cancer right now.Thanks for being here guys, I look forward to your responses and views.Sonny",0,0
"Oh Traci it was so wonderful, well worth the 7 plus hour drive to get there!",0,0
Just want you to know that I am sending prayers and hugs to you.,0,0
I have adjusted myself to these new schedules and have gotten used to the increased pain levels and discomfort.,0,0
"YIKES....If I didn't tell you I was scared, I would be a big liar.",0,0
He is having the prostate removed next week.,0,0
These tests need to be done as quickly as,0,0
I hated chemo because you could not taste food and  everything smelled weird to me.,0,0
"I just feel so sick, tired and defeated.",0,0
Results were good and lasted about two years without recurrence.,0,0
I absolutely love chocolate and cannot wait to try this!,0,0
Anyone have experience with being too weak to walk?,0,0
"They feel with the radiation and chemo, the remaining culprets should be destroyed.",0,0
I had very direct and famous oncologist who was recommended by my breast surgeon.,0,0
I'm 61 and proud of every minute of it.,0,0
"Hi BuzzzThere is one distinct difference between these 2 technologies, CyberKnife uses radiation which is gamma rays  to kill cancer cells, radiation contaminates any other surrounding cells that it comes into contact with.. HIFU is totally different because it does not use any radiation and only uses Ultra High Frequenscy laser which the Dr. uses to cook the cells effected which kills the bad cells, it's focused laser beam raises the temperature to 60 degrees celcius which kills the cells, there is no radiation.. don't get me wrong I think CK is a much better technology than the previous methods of radiation therapy which was beamed at the Prostate and other tissues which it also killed..  of course I am no expert but I know when I had my CT Scan everyone left the room because I was being <PERSON> which shows that radiation is dangerous to life...<PERSON>",0,0
He is also going to travel to Vanderbilt University where they have clinical trials for this exact type of cancer going on.,0,0
I hope we can gain access to The Breast in early 2012 to see and read the full recommendations.,0,0
"    I spent plenty of time before starting treatment, after being told I had a 50% chance to survive two years and a 2% chance to make it ten years, trying to find proof that hormone therapy actually extends one's life.",0,0
After multiple scans 3 masses 4cm in the right 3cm in the left lung were found.,0,0
"Okay ladies, this could be a tough question because we all have different opinions.",0,0
